Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 1999. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 09:08:25 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,POPH Personal ocupado total hombres,POPM Personal ocupado total mujeres,POPT Personal ocupado total,
01 Aguascalientes,005 Jesús María,326    Industria del plástico y del hule                                                                                                                                                                       ,29,1,30,
01 Aguascalientes,005 Jesús María,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,1190,69,1259,
01 Aguascalientes,005 Jesús María,331    Industrias metálicas básicas                                                                                                                                                                            ,9,0,9,
01 Aguascalientes,005 Jesús María,332    Fabricación de productos metálicos                                                                                                                                                                      ,1800,432,2232,
01 Aguascalientes,005 Jesús María,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,1841,777,2618,
01 Aguascalientes,005 Jesús María,336    Fabricación de equipo de transporte                                                                                                                                                                     ,1083,430,1513,
01 Aguascalientes,005 Jesús María,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,350,27,377,
01 Aguascalientes,005 Jesús María,339    Otras industrias manufactureras                                                                                                                                                                         ,50,26,76,
02 Baja California,005 Playas de Rosarito,311    Industria alimentaria                                                                                                                                                                                   ,76,70,146,
02 Baja California,005 Playas de Rosarito,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,11,1,12,
02 Baja California,005 Playas de Rosarito,315    Fabricación de prendas de vestir                                                                                                                                                                        ,52,61,113,
02 Baja California,005 Playas de Rosarito,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,4,0,4,
02 Baja California,005 Playas de Rosarito,321    Industria de la madera                                                                                                                                                                                  ,13,11,24,
02 Baja California,005 Playas de Rosarito,322    Industria del papel                                                                                                                                                                                     ,17,23,40,
02 Baja California,005 Playas de Rosarito,323    Impresión e industrias conexas                                                                                                                                                                          ,20,7,27,
02 Baja California,005 Playas de Rosarito,325    Industria química                                                                                                                                                                                       ,4,0,4,
02 Baja California,005 Playas de Rosarito,326    Industria del plástico y del hule                                                                                                                                                                       ,17,59,76,
02 Baja California,005 Playas de Rosarito,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,163,20,183,
02 Baja California,005 Playas de Rosarito,332    Fabricación de productos metálicos                                                                                                                                                                      ,37,0,37,
02 Baja California,005 Playas de Rosarito,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,104,8,112,
02 Baja California,005 Playas de Rosarito,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,25,2,27,
02 Baja California,005 Playas de Rosarito,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,231,89,320,
02 Baja California,005 Playas de Rosarito,339    Otras industrias manufactureras                                                                                                                                                                         ,6,2,8,
30 Veracruz de Ignacio de la Llave,006 Acultzingo,311    Industria alimentaria                                                                                                                                                                                   ,75,14,89,
30 Veracruz de Ignacio de la Llave,006 Acultzingo,321    Industria de la madera                                                                                                                                                                                  ,5,1,6,
30 Veracruz de Ignacio de la Llave,006 Acultzingo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,6,0,6,
30 Veracruz de Ignacio de la Llave,006 Acultzingo,332    Fabricación de productos metálicos                                                                                                                                                                      ,2,0,2,
21 Puebla,006 Ahuacatlán,311    Industria alimentaria                                                                                                                                                                                   ,10,9,19,
21 Puebla,006 Ahuacatlán,313    Fabricación de insumos textiles                                                                                                                                                                         ,1,1,2,
21 Puebla,006 Ahuacatlán,315    Fabricación de prendas de vestir                                                                                                                                                                        ,0,2,2,
21 Puebla,006 Ahuacatlán,325    Industria química                                                                                                                                                                                       ,2,1,3,
21 Puebla,006 Ahuacatlán,332    Fabricación de productos metálicos                                                                                                                                                                      ,1,0,1,
21 Puebla,006 Ahuacatlán,339    Otras industrias manufactureras                                                                                                                                                                         ,1,4,5,
13 Hidalgo,006 Alfajayucan,311    Industria alimentaria                                                                                                                                                                                   ,11,8,19,
13 Hidalgo,006 Alfajayucan,323    Impresión e industrias conexas                                                                                                                                                                          ,1,0,1,
13 Hidalgo,006 Alfajayucan,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,2,0,2,
13 Hidalgo,006 Alfajayucan,332    Fabricación de productos metálicos                                                                                                                                                                      ,11,1,12,
13 Hidalgo,006 Alfajayucan,336    Fabricación de equipo de transporte                                                                                                                                                                     ,109,55,164,
13 Hidalgo,006 Alfajayucan,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
15 México,006 Almoloya del Río,311    Industria alimentaria                                                                                                                                                                                   ,14,7,21,
15 México,006 Almoloya del Río,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,5,4,9,
15 México,006 Almoloya del Río,315    Fabricación de prendas de vestir                                                                                                                                                                        ,272,145,417,
15 México,006 Almoloya del Río,323    Impresión e industrias conexas                                                                                                                                                                          ,1,0,1,
15 México,006 Almoloya del Río,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,2,0,2,
15 México,006 Almoloya del Río,332    Fabricación de productos metálicos                                                                                                                                                                      ,4,0,4,
15 México,006 Almoloya del Río,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,3,0,3,
15 México,006 Almoloya del Río,339    Otras industrias manufactureras                                                                                                                                                                         ,2,0,2,
07 Chiapas,006 Amatenango de la Frontera,311    Industria alimentaria                                                                                                                                                                                   ,4,12,16,
07 Chiapas,006 Amatenango de la Frontera,332    Fabricación de productos metálicos                                                                                                                                                                      ,2,0,2,
07 Chiapas,006 Amatenango de la Frontera,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
14 Jalisco,006 Ameca,311    Industria alimentaria                                                                                                                                                                                   ,483,101,584,
14 Jalisco,006 Ameca,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,296,7,303,
14 Jalisco,006 Ameca,315    Fabricación de prendas de vestir                                                                                                                                                                        ,60,240,300,
14 Jalisco,006 Ameca,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,8,0,8,
14 Jalisco,006 Ameca,321    Industria de la madera                                                                                                                                                                                  ,13,0,13,
14 Jalisco,006 Ameca,323    Impresión e industrias conexas                                                                                                                                                                          ,3,4,7,
14 Jalisco,006 Ameca,325    Industria química                                                                                                                                                                                       ,2,1,3,
14 Jalisco,006 Ameca,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,38,10,48,
14 Jalisco,006 Ameca,332    Fabricación de productos metálicos                                                                                                                                                                      ,59,0,59,
14 Jalisco,006 Ameca,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,2,0,2,
14 Jalisco,006 Ameca,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,20,1,21,
14 Jalisco,006 Ameca,339    Otras industrias manufactureras                                                                                                                                                                         ,0,3,3,
16 Michoacán de Ocampo,006 Apatzingán,311    Industria alimentaria                                                                                                                                                                                   ,231,267,498,
16 Michoacán de Ocampo,006 Apatzingán,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,60,62,122,
16 Michoacán de Ocampo,006 Apatzingán,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,6,3,9,
16 Michoacán de Ocampo,006 Apatzingán,315    Fabricación de prendas de vestir                                                                                                                                                                        ,15,21,36,
16 Michoacán de Ocampo,006 Apatzingán,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,11,0,11,
16 Michoacán de Ocampo,006 Apatzingán,321    Industria de la madera                                                                                                                                                                                  ,62,4,66,
16 Michoacán de Ocampo,006 Apatzingán,322    Industria del papel                                                                                                                                                                                     ,6,1,7,
16 Michoacán de Ocampo,006 Apatzingán,323    Impresión e industrias conexas                                                                                                                                                                          ,51,21,72,
16 Michoacán de Ocampo,006 Apatzingán,325    Industria química                                                                                                                                                                                       ,10,5,15,
16 Michoacán de Ocampo,006 Apatzingán,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,64,5,69,
16 Michoacán de Ocampo,006 Apatzingán,332    Fabricación de productos metálicos                                                                                                                                                                      ,183,6,189,
16 Michoacán de Ocampo,006 Apatzingán,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,4,1,5,
16 Michoacán de Ocampo,006 Apatzingán,336    Fabricación de equipo de transporte                                                                                                                                                                     ,13,0,13,
16 Michoacán de Ocampo,006 Apatzingán,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,95,3,98,
16 Michoacán de Ocampo,006 Apatzingán,339    Otras industrias manufactureras                                                                                                                                                                         ,10,2,12,
12 Guerrero,006 Apaxtla,311    Industria alimentaria                                                                                                                                                                                   ,14,19,33,
12 Guerrero,006 Apaxtla,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,1,0,1,
12 Guerrero,006 Apaxtla,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,1,2,
12 Guerrero,006 Apaxtla,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,3,0,3,
12 Guerrero,006 Apaxtla,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,6,0,6,
12 Guerrero,006 Apaxtla,332    Fabricación de productos metálicos                                                                                                                                                                      ,14,0,14,
12 Guerrero,006 Apaxtla,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,8,0,8,
19 Nuevo León,006 Apodaca,311    Industria alimentaria                                                                                                                                                                                   ,427,164,591,
19 Nuevo León,006 Apodaca,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,59,2,61,
19 Nuevo León,006 Apodaca,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,87,53,140,
19 Nuevo León,006 Apodaca,315    Fabricación de prendas de vestir                                                                                                                                                                        ,9,10,19,
19 Nuevo León,006 Apodaca,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,152,222,374,
19 Nuevo León,006 Apodaca,321    Industria de la madera                                                                                                                                                                                  ,99,10,109,
19 Nuevo León,006 Apodaca,322    Industria del papel                                                                                                                                                                                     ,1138,80,1218,
19 Nuevo León,006 Apodaca,323    Impresión e industrias conexas                                                                                                                                                                          ,17,3,20,
19 Nuevo León,006 Apodaca,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,73,8,81,
19 Nuevo León,006 Apodaca,325    Industria química                                                                                                                                                                                       ,299,45,344,
19 Nuevo León,006 Apodaca,326    Industria del plástico y del hule                                                                                                                                                                       ,1982,1019,3001,
19 Nuevo León,006 Apodaca,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,2705,303,3008,
19 Nuevo León,006 Apodaca,331    Industrias metálicas básicas                                                                                                                                                                            ,363,32,395,
19 Nuevo León,006 Apodaca,332    Fabricación de productos metálicos                                                                                                                                                                      ,3301,200,3501,
19 Nuevo León,006 Apodaca,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,2081,521,2602,
19 Nuevo León,006 Apodaca,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios e                                                                                             ,1544,2736,4280,
19 Nuevo León,006 Apodaca,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,7228,2452,9680,
19 Nuevo León,006 Apodaca,336    Fabricación de equipo de transporte                                                                                                                                                                     ,4610,2496,7106,
19 Nuevo León,006 Apodaca,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,296,145,441,
19 Nuevo León,006 Apodaca,339    Otras industrias manufactureras                                                                                                                                                                         ,172,55,227,
26 Sonora,006 Arizpe,311    Industria alimentaria                                                                                                                                                                                   ,1,0,1,
26 Sonora,006 Arizpe,315    Fabricación de prendas de vestir                                                                                                                                                                        ,93,110,203,
26 Sonora,006 Arizpe,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,5,0,5,
20 Oaxaca,006 Asunción Nochixtlán,311    Industria alimentaria                                                                                                                                                                                   ,49,52,101,
20 Oaxaca,006 Asunción Nochixtlán,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,3,0,3,
20 Oaxaca,006 Asunción Nochixtlán,313    Fabricación de insumos textiles                                                                                                                                                                         ,0,2,2,
20 Oaxaca,006 Asunción Nochixtlán,315    Fabricación de prendas de vestir                                                                                                                                                                        ,88,148,236,
20 Oaxaca,006 Asunción Nochixtlán,323    Impresión e industrias conexas                                                                                                                                                                          ,2,0,2,
20 Oaxaca,006 Asunción Nochixtlán,325    Industria química                                                                                                                                                                                       ,7,3,10,
20 Oaxaca,006 Asunción Nochixtlán,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,65,3,68,
20 Oaxaca,006 Asunción Nochixtlán,331    Industrias metálicas básicas                                                                                                                                                                            ,1,0,1,
20 Oaxaca,006 Asunción Nochixtlán,332    Fabricación de productos metálicos                                                                                                                                                                      ,16,1,17,
20 Oaxaca,006 Asunción Nochixtlán,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,9,0,9,
20 Oaxaca,006 Asunción Nochixtlán,339    Otras industrias manufactureras                                                                                                                                                                         ,1,0,1,
11 Guanajuato,006 Atarjea,311    Industria alimentaria                                                                                                                                                                                   ,0,1,1,
11 Guanajuato,006 Atarjea,339    Otras industrias manufactureras                                                                                                                                                                         ,1,0,1,
08 Chihuahua,006 Bachíniva,311    Industria alimentaria                                                                                                                                                                                   ,1,3,4,
08 Chihuahua,006 Bachíniva,332    Fabricación de productos metálicos                                                                                                                                                                      ,2,0,2,
08 Chihuahua,006 Bachíniva,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,1,0,1,
31 Yucatán,006 Buctzotz,311    Industria alimentaria                                                                                                                                                                                   ,28,21,49,
31 Yucatán,006 Buctzotz,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,3,0,3,
31 Yucatán,006 Buctzotz,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,1,1,2,
31 Yucatán,006 Buctzotz,315    Fabricación de prendas de vestir                                                                                                                                                                        ,6,14,20,
31 Yucatán,006 Buctzotz,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,2,0,2,
31 Yucatán,006 Buctzotz,321    Industria de la madera                                                                                                                                                                                  ,9,0,9,
31 Yucatán,006 Buctzotz,323    Impresión e industrias conexas                                                                                                                                                                          ,2,1,3,
31 Yucatán,006 Buctzotz,332    Fabricación de productos metálicos                                                                                                                                                                      ,1,0,1,
31 Yucatán,006 Buctzotz,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,21,0,21,
28 Tamaulipas,006 Bustamante,311    Industria alimentaria                                                                                                                                                                                   ,4,4,8,
28 Tamaulipas,006 Bustamante,313    Fabricación de insumos textiles                                                                                                                                                                         ,0,1,1,
29 Tlaxcala,006 Calpulalpan,311    Industria alimentaria                                                                                                                                                                                   ,264,57,321,
29 Tlaxcala,006 Calpulalpan,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,1,0,1,
29 Tlaxcala,006 Calpulalpan,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,0,1,1,
29 Tlaxcala,006 Calpulalpan,315    Fabricación de prendas de vestir                                                                                                                                                                        ,322,339,661,
29 Tlaxcala,006 Calpulalpan,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,335,71,406,
29 Tlaxcala,006 Calpulalpan,321    Industria de la madera                                                                                                                                                                                  ,15,0,15,
29 Tlaxcala,006 Calpulalpan,323    Impresión e industrias conexas                                                                                                                                                                          ,1,1,2,
29 Tlaxcala,006 Calpulalpan,325    Industria química                                                                                                                                                                                       ,46,2,48,
29 Tlaxcala,006 Calpulalpan,326    Industria del plástico y del hule                                                                                                                                                                       ,522,165,687,
29 Tlaxcala,006 Calpulalpan,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,33,1,34,
29 Tlaxcala,006 Calpulalpan,331    Industrias metálicas básicas                                                                                                                                                                            ,1,0,1,
29 Tlaxcala,006 Calpulalpan,332    Fabricación de productos metálicos                                                                                                                                                                      ,35,3,38,
29 Tlaxcala,006 Calpulalpan,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,4,0,4,
29 Tlaxcala,006 Calpulalpan,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,8,1,9,
29 Tlaxcala,006 Calpulalpan,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,25,1,26,
32 Zacatecas,006 Cañitas de Felipe Pescador,311    Industria alimentaria                                                                                                                                                                                   ,16,19,35,
32 Zacatecas,006 Cañitas de Felipe Pescador,315    Fabricación de prendas de vestir                                                                                                                                                                        ,0,8,8,
32 Zacatecas,006 Cañitas de Felipe Pescador,321    Industria de la madera                                                                                                                                                                                  ,1,0,1,
32 Zacatecas,006 Cañitas de Felipe Pescador,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,3,0,3,
32 Zacatecas,006 Cañitas de Felipe Pescador,332    Fabricación de productos metálicos                                                                                                                                                                      ,8,0,8,
05 Coahuila de Zaragoza,006 Castaños,311    Industria alimentaria                                                                                                                                                                                   ,17,13,30,
05 Coahuila de Zaragoza,006 Castaños,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,26,1,27,
05 Coahuila de Zaragoza,006 Castaños,321    Industria de la madera                                                                                                                                                                                  ,3,0,3,
05 Coahuila de Zaragoza,006 Castaños,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,76,2,78,
05 Coahuila de Zaragoza,006 Castaños,331    Industrias metálicas básicas                                                                                                                                                                            ,17,0,17,
05 Coahuila de Zaragoza,006 Castaños,332    Fabricación de productos metálicos                                                                                                                                                                      ,45,3,48,
05 Coahuila de Zaragoza,006 Castaños,336    Fabricación de equipo de transporte                                                                                                                                                                     ,952,28,980,
05 Coahuila de Zaragoza,006 Castaños,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,5,0,5,
05 Coahuila de Zaragoza,006 Castaños,339    Otras industrias manufactureras                                                                                                                                                                         ,1,0,1,
24 San Luis Potosí,006 Catorce,311    Industria alimentaria                                                                                                                                                                                   ,1,2,3,
24 San Luis Potosí,006 Catorce,315    Fabricación de prendas de vestir                                                                                                                                                                        ,0,1,1,
24 San Luis Potosí,006 Catorce,321    Industria de la madera                                                                                                                                                                                  ,1,0,1,
24 San Luis Potosí,006 Catorce,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
24 San Luis Potosí,006 Catorce,339    Otras industrias manufactureras                                                                                                                                                                         ,10,0,10,
22 Querétaro de Arteaga,006 Corregidora,311    Industria alimentaria                                                                                                                                                                                   ,534,419,953,
22 Querétaro de Arteaga,006 Corregidora,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,32,5,37,
22 Querétaro de Arteaga,006 Corregidora,313    Fabricación de insumos textiles                                                                                                                                                                         ,1,0,1,
22 Querétaro de Arteaga,006 Corregidora,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,1,1,2,
22 Querétaro de Arteaga,006 Corregidora,315    Fabricación de prendas de vestir                                                                                                                                                                        ,51,111,162,
22 Querétaro de Arteaga,006 Corregidora,321    Industria de la madera                                                                                                                                                                                  ,29,0,29,
22 Querétaro de Arteaga,006 Corregidora,322    Industria del papel                                                                                                                                                                                     ,157,23,180,
22 Querétaro de Arteaga,006 Corregidora,323    Impresión e industrias conexas                                                                                                                                                                          ,23,6,29,
22 Querétaro de Arteaga,006 Corregidora,325    Industria química                                                                                                                                                                                       ,201,58,259,
22 Querétaro de Arteaga,006 Corregidora,326    Industria del plástico y del hule                                                                                                                                                                       ,48,70,118,
22 Querétaro de Arteaga,006 Corregidora,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,55,15,70,
22 Querétaro de Arteaga,006 Corregidora,331    Industrias metálicas básicas                                                                                                                                                                            ,29,6,35,
