Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:44:53 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
12 Guerrero,001 Acapulco de juárez,313    Fabricación de insumos textiles y acabado de textiles ,6,4,2,
12 Guerrero,001 Acapulco de juárez,314    Fabricación de productos textiles excepto prendas de vestir ,64,42,22,
12 Guerrero,001 Acapulco de juárez,315    Fabricación de prendas de vestir ,400,202,198,
12 Guerrero,001 Acapulco de juárez,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,27,23,4,
12 Guerrero,001 Acapulco de juárez,321    Industria de la madera ,166,145,21,
12 Guerrero,001 Acapulco de juárez,322    Industria del papel ,92,36,56,
12 Guerrero,001 Acapulco de juárez,323    Impresión e industrias conexas ,374,246,128,
12 Guerrero,001 Acapulco de juárez,325    Industria química ,102,88,14,
12 Guerrero,001 Acapulco de juárez,326    Industria del plástico y del hule ,128,61,67,
12 Guerrero,001 Acapulco de juárez,327    Fabricación de productos a base de minerales no metálicos ,342,268,74,
12 Guerrero,001 Acapulco de juárez,332    Fabricación de productos metálicos ,1036,946,90,
12 Guerrero,001 Acapulco de juárez,333    Fabricación de maquinaria y equipo ,1,1,0,
12 Guerrero,001 Acapulco de juárez,335    Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica ,24,17,7,
12 Guerrero,001 Acapulco de juárez,336    Fabricación de equipo de transporte ,10,10,0,
12 Guerrero,001 Acapulco de juárez,337    Fabricación de muebles colchones y persianas ,266,247,19,
12 Guerrero,001 Acapulco de juárez,339    Otras industrias manufactureras ,320,172,148,
14 Jalisco,001 Acatic,311    Industria alimentaria ,88,34,54,
14 Jalisco,001 Acatic,312    Industria de las bebidas y del tabaco ,140,90,50,
14 Jalisco,001 Acatic,314    Fabricación de productos textiles excepto prendas de vestir ,1,0,1,
14 Jalisco,001 Acatic,315    Fabricación de prendas de vestir ,61,1,60,
14 Jalisco,001 Acatic,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,2,0,2,
14 Jalisco,001 Acatic,321    Industria de la madera ,7,6,1,
14 Jalisco,001 Acatic,323    Impresión e industrias conexas ,3,2,1,
14 Jalisco,001 Acatic,327    Fabricación de productos a base de minerales no metálicos ,695,468,227,
14 Jalisco,001 Acatic,332    Fabricación de productos metálicos ,29,29,0,
14 Jalisco,001 Acatic,337    Fabricación de muebles colchones y persianas ,3,3,0,
14 Jalisco,001 Acatic,339    Otras industrias manufactureras ,4,2,2,
13 Hidalgo,001 Acatlán,311    Industria alimentaria ,18,11,7,
13 Hidalgo,001 Acatlán,327    Fabricación de productos a base de minerales no metálicos ,96,77,19,
13 Hidalgo,001 Acatlán,332    Fabricación de productos metálicos ,2,2,0,
13 Hidalgo,001 Acatlán,337    Fabricación de muebles colchones y persianas ,4,4,0,
26 Sonora,001 Aconchi,311    Industria alimentaria ,9,3,6,
26 Sonora,001 Aconchi,312    Industria de las bebidas y del tabaco ,3,2,1,
26 Sonora,001 Aconchi,321    Industria de la madera ,16,16,0,
