Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2004. Resultados definitivos,,,,,,,
Fecha de consulta: 25/08/2021 03:43:30 p. m.,,,,,,,
,,,,,,,
Entidad,Municipio,Actividad Económica,UE UNIDADES ECONÓMICAS,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
13 Hidalgo,005 Ajacuba,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      4 ,9,7,2,
13 Hidalgo,005 Ajacuba,332    Fabricación de productos metálicos                                                                                                                                                                      ,      9 ,15,15,0,
13 Hidalgo,005 Ajacuba,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,4,4,0,
13 Hidalgo,005 Ajacuba,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,9,8,1,
15 México,005 Almoloya de Juárez,311    Industria alimentaria                                                                                                                                                                                   ,     97 ,234,107,127,
15 México,005 Almoloya de Juárez,315    Fabricación de prendas de vestir                                                                                                                                                                        ,     14 ,276,60,216,
15 México,005 Almoloya de Juárez,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,42,12,30,
15 México,005 Almoloya de Juárez,321    Industria de la madera                                                                                                                                                                                  ,      * ,5,3,2,
15 México,005 Almoloya de Juárez,322    Industria del papel                                                                                                                                                                                     ,      * ,481,458,23,
15 México,005 Almoloya de Juárez,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,4,3,1,
15 México,005 Almoloya de Juárez,325    Industria química                                                                                                                                                                                       ,      * ,36,36,0,
15 México,005 Almoloya de Juárez,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     39 ,95,68,27,
15 México,005 Almoloya de Juárez,332    Fabricación de productos metálicos                                                                                                                                                                      ,     31 ,48,46,2,
15 México,005 Almoloya de Juárez,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     15 ,34,34,0,
15 México,005 Almoloya de Juárez,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,3,0,3,
12 Guerrero,005 Alpoyeca,311    Industria alimentaria                                                                                                                                                                                   ,      * ,19,7,12,
12 Guerrero,005 Alpoyeca,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,3,3,0,
12 Guerrero,005 Alpoyeca,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,3,2,1,
07 Chiapas,005 Amatán,311    Industria alimentaria                                                                                                                                                                                   ,      * ,6,2,4,
07 Chiapas,005 Amatán,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,1,1,0,
07 Chiapas,005 Amatán,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,9,9,0,
14 Jalisco,005 Amatitán,311    Industria alimentaria                                                                                                                                                                                   ,     14 ,44,19,25,
14 Jalisco,005 Amatitán,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,653,422,231,
14 Jalisco,005 Amatitán,321    Industria de la madera                                                                                                                                                                                  ,      * ,4,4,0,
14 Jalisco,005 Amatitán,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,5,5,0,
14 Jalisco,005 Amatitán,332    Fabricación de productos metálicos                                                                                                                                                                      ,     10 ,19,18,1,
14 Jalisco,005 Amatitán,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,1,1,0,
19 Nuevo León,005 Anáhuac,311    Industria alimentaria                                                                                                                                                                                   ,     19 ,60,31,29,
19 Nuevo León,005 Anáhuac,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,13,11,2,
19 Nuevo León,005 Anáhuac,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,48,22,26,
19 Nuevo León,005 Anáhuac,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,2,0,2,
19 Nuevo León,005 Anáhuac,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,1,1,0,
19 Nuevo León,005 Anáhuac,321    Industria de la madera                                                                                                                                                                                  ,      6 ,6,6,0,
19 Nuevo León,005 Anáhuac,322    Industria del papel                                                                                                                                                                                     ,      * ,2,1,1,
19 Nuevo León,005 Anáhuac,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,3,2,1,
19 Nuevo León,005 Anáhuac,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,130,78,52,
19 Nuevo León,005 Anáhuac,332    Fabricación de productos metálicos                                                                                                                                                                      ,     10 ,12,11,1,
19 Nuevo León,005 Anáhuac,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,972,543,429,
19 Nuevo León,005 Anáhuac,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,245,214,31,
19 Nuevo León,005 Anáhuac,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,1,0,1,
16 Michoacán de Ocampo,005 Angangueo,311    Industria alimentaria                                                                                                                                                                                   ,     11 ,37,23,14,
16 Michoacán de Ocampo,005 Angangueo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,30,6,24,
16 Michoacán de Ocampo,005 Angangueo,321    Industria de la madera                                                                                                                                                                                  ,      * ,2,2,0,
16 Michoacán de Ocampo,005 Angangueo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,7,7,0,
16 Michoacán de Ocampo,005 Angangueo,332    Fabricación de productos metálicos                                                                                                                                                                      ,      5 ,11,11,0,
16 Michoacán de Ocampo,005 Angangueo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,23,23,0,
16 Michoacán de Ocampo,005 Angangueo,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,2,2,0,
11 Guanajuato,005 Apaseo el Grande,311    Industria alimentaria                                                                                                                                                                                   ,     44 ,1009,550,459,
11 Guanajuato,005 Apaseo el Grande,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,19,16,3,
11 Guanajuato,005 Apaseo el Grande,313    Fabricación de insumos textiles                                                                                                                                                                         ,      * ,94,48,46,
11 Guanajuato,005 Apaseo el Grande,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,2,0,2,
11 Guanajuato,005 Apaseo el Grande,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,67,20,47,
11 Guanajuato,005 Apaseo el Grande,321    Industria de la madera                                                                                                                                                                                  ,      6 ,15,12,3,
11 Guanajuato,005 Apaseo el Grande,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,7,3,4,
11 Guanajuato,005 Apaseo el Grande,325    Industria química                                                                                                                                                                                       ,      * ,226,164,62,
11 Guanajuato,005 Apaseo el Grande,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,498,271,227,
11 Guanajuato,005 Apaseo el Grande,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      4 ,12,12,0,
11 Guanajuato,005 Apaseo el Grande,332    Fabricación de productos metálicos                                                                                                                                                                      ,     35 ,129,116,13,
11 Guanajuato,005 Apaseo el Grande,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,      * ,1168,490,678,
11 Guanajuato,005 Apaseo el Grande,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,1209,334,875,
11 Guanajuato,005 Apaseo el Grande,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     14 ,52,38,14,
11 Guanajuato,005 Apaseo el Grande,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,6,3,3,
29 Tlaxcala,005 Apizaco,311    Industria alimentaria                                                                                                                                                                                   ,    227 ,585,289,296,
29 Tlaxcala,005 Apizaco,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,     10 ,295,268,27,
29 Tlaxcala,005 Apizaco,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,1,1,0,
29 Tlaxcala,005 Apizaco,315    Fabricación de prendas de vestir                                                                                                                                                                        ,     33 ,275,92,183,
29 Tlaxcala,005 Apizaco,321    Industria de la madera                                                                                                                                                                                  ,     12 ,25,23,2,
29 Tlaxcala,005 Apizaco,322    Industria del papel                                                                                                                                                                                     ,      * ,350,310,40,
29 Tlaxcala,005 Apizaco,323    Impresión e industrias conexas                                                                                                                                                                          ,     27 ,67,51,16,
29 Tlaxcala,005 Apizaco,325    Industria química                                                                                                                                                                                       ,      * ,1,1,0,
29 Tlaxcala,005 Apizaco,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,5,4,1,
29 Tlaxcala,005 Apizaco,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     18 ,60,57,3,
29 Tlaxcala,005 Apizaco,331    Industrias metálicas básicas                                                                                                                                                                            ,      * ,50,35,15,
29 Tlaxcala,005 Apizaco,332    Fabricación de productos metálicos                                                                                                                                                                      ,     83 ,154,151,3,
29 Tlaxcala,005 Apizaco,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,19,16,3,
29 Tlaxcala,005 Apizaco,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,2,2,0,
29 Tlaxcala,005 Apizaco,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     32 ,75,69,6,
29 Tlaxcala,005 Apizaco,339    Otras industrias manufactureras                                                                                                                                                                         ,      8 ,22,13,9,
26 Sonora,005 Arivechi,311    Industria alimentaria                                                                                                                                                                                   ,      * ,5,0,5,
08 Chihuahua,005 Ascensión,311    Industria alimentaria                                                                                                                                                                                   ,     14 ,47,33,14,
08 Chihuahua,005 Ascensión,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,1,1,0,
08 Chihuahua,005 Ascensión,321    Industria de la madera                                                                                                                                                                                  ,      * ,4,4,0,
08 Chihuahua,005 Ascensión,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,2,1,1,
08 Chihuahua,005 Ascensión,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,9,9,0,
08 Chihuahua,005 Ascensión,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,2,2,0,
08 Chihuahua,005 Ascensión,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,8952,4271,4681,
08 Chihuahua,005 Ascensión,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,57,44,13,
20 Oaxaca,005 Asunción Ixtaltepec,311    Industria alimentaria                                                                                                                                                                                   ,     34 ,57,27,30,
20 Oaxaca,005 Asunción Ixtaltepec,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,4,0,4,
20 Oaxaca,005 Asunción Ixtaltepec,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     24 ,42,37,5,
20 Oaxaca,005 Asunción Ixtaltepec,332    Fabricación de productos metálicos                                                                                                                                                                      ,      8 ,9,9,0,
20 Oaxaca,005 Asunción Ixtaltepec,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,6,6,0,
20 Oaxaca,005 Asunción Ixtaltepec,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,1,1,0,
23 Quintana Roo,005 Benito Juárez,311    Industria alimentaria                                                                                                                                                                                   ,    345 ,1250,844,406,
23 Quintana Roo,005 Benito Juárez,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,     19 ,520,439,81,
23 Quintana Roo,005 Benito Juárez,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,52,29,23,
23 Quintana Roo,005 Benito Juárez,315    Fabricación de prendas de vestir                                                                                                                                                                        ,    119 ,387,218,169,
23 Quintana Roo,005 Benito Juárez,321    Industria de la madera                                                                                                                                                                                  ,     76 ,206,197,9,
23 Quintana Roo,005 Benito Juárez,322    Industria del papel                                                                                                                                                                                     ,      * ,29,13,16,
23 Quintana Roo,005 Benito Juárez,323    Impresión e industrias conexas                                                                                                                                                                          ,     79 ,955,683,272,
23 Quintana Roo,005 Benito Juárez,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,      * ,19,17,2,
23 Quintana Roo,005 Benito Juárez,325    Industria química                                                                                                                                                                                       ,      * ,49,38,11,
23 Quintana Roo,005 Benito Juárez,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,119,83,36,
23 Quintana Roo,005 Benito Juárez,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     22 ,302,269,33,
23 Quintana Roo,005 Benito Juárez,331    Industrias metálicas básicas                                                                                                                                                                            ,      * ,8,5,3,
23 Quintana Roo,005 Benito Juárez,332    Fabricación de productos metálicos                                                                                                                                                                      ,    189 ,538,505,33,
23 Quintana Roo,005 Benito Juárez,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,6,4,2,
23 Quintana Roo,005 Benito Juárez,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,      * ,1,1,0,
23 Quintana Roo,005 Benito Juárez,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,16,16,0,
23 Quintana Roo,005 Benito Juárez,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     90 ,369,334,35,
23 Quintana Roo,005 Benito Juárez,339    Otras industrias manufactureras                                                                                                                                                                         ,     35 ,151,97,54,
31 Yucatán,005 Bokobá,311    Industria alimentaria                                                                                                                                                                                   ,      * ,14,8,6,
31 Yucatán,005 Bokobá,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,1,1,0,
31 Yucatán,005 Bokobá,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,1,1,0,
31 Yucatán,005 Bokobá,321    Industria de la madera                                                                                                                                                                                  ,      * ,1,1,0,
31 Yucatán,005 Bokobá,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,1,1,0,
28 Tamaulipas,005 Burgos,311    Industria alimentaria                                                                                                                                                                                   ,      * ,5,1,4,
28 Tamaulipas,005 Burgos,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,3,3,0,
28 Tamaulipas,005 Burgos,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,75,25,50,
28 Tamaulipas,005 Burgos,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,6,6,0,
32 Zacatecas,005 Calera,311    Industria alimentaria                                                                                                                                                                                   ,     41 ,167,104,63,
32 Zacatecas,005 Calera,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,3780,3696,84,
32 Zacatecas,005 Calera,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,202,23,179,
32 Zacatecas,005 Calera,321    Industria de la madera                                                                                                                                                                                  ,     12 ,51,49,2,
32 Zacatecas,005 Calera,322    Industria del papel                                                                                                                                                                                     ,      * ,2,0,2,
32 Zacatecas,005 Calera,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,7,5,2,
32 Zacatecas,005 Calera,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     10 ,386,292,94,
32 Zacatecas,005 Calera,331    Industrias metálicas básicas                                                                                                                                                                            ,      * ,47,43,4,
32 Zacatecas,005 Calera,332    Fabricación de productos metálicos                                                                                                                                                                      ,     43 ,470,416,54,
32 Zacatecas,005 Calera,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,3,3,0,
32 Zacatecas,005 Calera,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     10 ,123,104,19,
32 Zacatecas,005 Calera,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,1,0,1,
05 Coahuila de Zaragoza,005 Candela,311    Industria alimentaria                                                                                                                                                                                   ,      * ,2,0,2,
05 Coahuila de Zaragoza,005 Candela,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,1,1,0,
05 Coahuila de Zaragoza,005 Candela,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,41,21,20,
05 Coahuila de Zaragoza,005 Candela,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,3,3,0,
05 Coahuila de Zaragoza,005 Candela,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,2,1,1,
24 San Luis Potosí,005 Cárdenas,311    Industria alimentaria                                                                                                                                                                                   ,     36 ,107,68,39,
24 San Luis Potosí,005 Cárdenas,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,15,14,1,
24 San Luis Potosí,005 Cárdenas,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      4 ,6,1,5,
24 San Luis Potosí,005 Cárdenas,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,1,1,0,
24 San Luis Potosí,005 Cárdenas,321    Industria de la madera                                                                                                                                                                                  ,      4 ,5,5,0,
24 San Luis Potosí,005 Cárdenas,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,9,8,1,
24 San Luis Potosí,005 Cárdenas,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      6 ,18,18,0,
24 San Luis Potosí,005 Cárdenas,332    Fabricación de productos metálicos                                                                                                                                                                      ,     19 ,41,40,1,
24 San Luis Potosí,005 Cárdenas,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,2,2,0,
24 San Luis Potosí,005 Cárdenas,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,5,4,1,
24 San Luis Potosí,005 Cárdenas,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,1,1,0,
17 Morelos,005 Coatlán del Río,311    Industria alimentaria                                                                                                                                                                                   ,     15 ,45,26,19,
17 Morelos,005 Coatlán del Río,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,15,5,10,
17 Morelos,005 Coatlán del Río,321    Industria de la madera                                                                                                                                                                                  ,      * ,2,1,1,
17 Morelos,005 Coatlán del Río,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,12,2,10,
17 Morelos,005 Coatlán del Río,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,7,7,0,
22 Querétaro de Arteaga,005 Colón,311    Industria alimentaria                                                                                                                                                                                   ,     19 ,37,15,22,
22 Querétaro de Arteaga,005 Colón,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      6 ,11,10,1,
22 Querétaro de Arteaga,005 Colón,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,516,231,285,
22 Querétaro de Arteaga,005 Colón,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,1,1,0,
22 Querétaro de Arteaga,005 Colón,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,8,8,0,
22 Querétaro de Arteaga,005 Colón,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,3,0,3,
27 Tabasco,005 Comalcalco,311    Industria alimentaria                                                                                                                                                                                   ,    100 ,543,367,176,
27 Tabasco,005 Comalcalco,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,     11 ,73,61,12,
27 Tabasco,005 Comalcalco,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,12,3,9,
27 Tabasco,005 Comalcalco,315    Fabricación de prendas de vestir                                                                                                                                                                        ,     22 ,28,15,13,
27 Tabasco,005 Comalcalco,321    Industria de la madera                                                                                                                                                                                  ,     42 ,73,70,3,
27 Tabasco,005 Comalcalco,322    Industria del papel                                                                                                                                                                                     ,     10 ,13,3,10,
27 Tabasco,005 Comalcalco,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,11,8,3,
27 Tabasco,005 Comalcalco,325    Industria química                                                                                                                                                                                       ,      * ,39,18,21,
27 Tabasco,005 Comalcalco,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     10 ,34,32,2,
27 Tabasco,005 Comalcalco,332    Fabricación de productos metálicos                                                                                                                                                                      ,     67 ,155,152,3,
27 Tabasco,005 Comalcalco,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     28 ,55,55,0,
27 Tabasco,005 Comalcalco,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,10,3,7,
25 Sinaloa,005 Cosalá,311    Industria alimentaria                                                                                                                                                                                   ,     12 ,32,12,20,
25 Sinaloa,005 Cosalá,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,16,16,0,
25 Sinaloa,005 Cosalá,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,2,0,2,
25 Sinaloa,005 Cosalá,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,6,6,0,
25 Sinaloa,005 Cosalá,321    Industria de la madera                                                                                                                                                                                  ,      * ,6,6,0,
