Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2004. Resultados definitivos,,,,,,,
Fecha de consulta: 25/08/2021 03:43:30 p. m.,,,,,,,
,,,,,,,
Entidad,Municipio,Actividad Económica,UE UNIDADES ECONÓMICAS,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
18 Nayarit,001 Acaponeta,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      5 ,5,5,0,
18 Nayarit,001 Acaponeta,321    Industria de la madera                                                                                                                                                                                  ,      * ,7,7,0,
18 Nayarit,001 Acaponeta,322    Industria del papel                                                                                                                                                                                     ,      * ,2,1,1,
18 Nayarit,001 Acaponeta,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,3,2,1,
18 Nayarit,001 Acaponeta,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     27 ,69,69,0,
18 Nayarit,001 Acaponeta,332    Fabricación de productos metálicos                                                                                                                                                                      ,     21 ,27,26,1,
18 Nayarit,001 Acaponeta,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,1,1,0,
18 Nayarit,001 Acaponeta,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,4,4,0,
18 Nayarit,001 Acaponeta,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,3,1,2,
12 Guerrero,001 Acapulco de Juárez,311    Industria alimentaria                                                                                                                                                                                   ,    971 ,2911,2052,859,
12 Guerrero,001 Acapulco de Juárez,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,     66 ,1076,817,259,
12 Guerrero,001 Acapulco de Juárez,313    Fabricación de insumos textiles                                                                                                                                                                         ,      * ,3,2,1,
12 Guerrero,001 Acapulco de Juárez,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,14,12,2,
12 Guerrero,001 Acapulco de Juárez,315    Fabricación de prendas de vestir                                                                                                                                                                        ,    153 ,459,240,219,
12 Guerrero,001 Acapulco de Juárez,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,6,4,2,
12 Guerrero,001 Acapulco de Juárez,321    Industria de la madera                                                                                                                                                                                  ,     40 ,174,156,18,
12 Guerrero,001 Acapulco de Juárez,322    Industria del papel                                                                                                                                                                                     ,     14 ,33,20,13,
12 Guerrero,001 Acapulco de Juárez,323    Impresión e industrias conexas                                                                                                                                                                          ,    102 ,396,281,115,
12 Guerrero,001 Acapulco de Juárez,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,      * ,84,66,18,
12 Guerrero,001 Acapulco de Juárez,325    Industria química                                                                                                                                                                                       ,      6 ,26,21,5,
12 Guerrero,001 Acapulco de Juárez,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,74,59,15,
12 Guerrero,001 Acapulco de Juárez,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     38 ,400,376,24,
12 Guerrero,001 Acapulco de Juárez,331    Industrias metálicas básicas                                                                                                                                                                            ,      * ,4,4,0,
12 Guerrero,001 Acapulco de Juárez,332    Fabricación de productos metálicos                                                                                                                                                                      ,    278 ,595,561,34,
12 Guerrero,001 Acapulco de Juárez,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,7,6,1,
12 Guerrero,001 Acapulco de Juárez,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,      * ,6,5,1,
12 Guerrero,001 Acapulco de Juárez,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,3,3,0,
12 Guerrero,001 Acapulco de Juárez,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     61 ,140,130,10,
12 Guerrero,001 Acapulco de Juárez,339    Otras industrias manufactureras                                                                                                                                                                         ,     36 ,144,104,40,
14 Jalisco,001 Acatic,311    Industria alimentaria                                                                                                                                                                                   ,     20 ,61,25,36,
