Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2014. Resultados definitivos,,,,,,,
Fecha de consulta: 26/08/2021 05:04:19 a. m.,,,,,,,
,,,,,,,
Año Censal,Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
2014,01 Aguascalientes,006 Pabellón de Arteaga,321 Industria de la madera,18,18,0,
2014,01 Aguascalientes,006 Pabellón de Arteaga,323 Impresión e industrias conexas,15,11,4,
2014,01 Aguascalientes,006 Pabellón de Arteaga,332 Fabricación de productos metálicos,48,48,0,
2014,01 Aguascalientes,006 Pabellón de Arteaga,337 Fabricación de muebles colchones y persianas,11,11,0,
2014,01 Aguascalientes,007 Rincón de Romos,311 Industria alimentaria,229,139,90,
2014,01 Aguascalientes,007 Rincón de Romos,312 Industria de las bebidas y del tabaco,25,18,7,
2014,01 Aguascalientes,007 Rincón de Romos,314 Fabricación de productos textiles excepto prendas de vestir,13,10,3,
2014,01 Aguascalientes,007 Rincón de Romos,315 Fabricación de prendas de vestir,871,476,395,
2014,01 Aguascalientes,007 Rincón de Romos,316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,12,12,0,
2014,01 Aguascalientes,007 Rincón de Romos,31C  Subsectores agrupados por el principio de confidencialidad,457,260,197,
2014,01 Aguascalientes,007 Rincón de Romos,321 Industria de la madera,16,16,0,
2014,01 Aguascalientes,007 Rincón de Romos,322 Industria del papel,7,0,7,
2014,01 Aguascalientes,007 Rincón de Romos,323 Impresión e industrias conexas,16,5,11,
2014,01 Aguascalientes,007 Rincón de Romos,327 Fabricación de productos a base de minerales no metálicos,12,9,3,
2014,01 Aguascalientes,007 Rincón de Romos,332 Fabricación de productos metálicos,74,68,6,
2014,01 Aguascalientes,007 Rincón de Romos,337 Fabricación de muebles colchones y persianas,11,11,0,
2014,01 Aguascalientes,007 Rincón de Romos,339 Otras industrias manufactureras,10,2,8,
2014,01 Aguascalientes,008 San José de Gracia,311 Industria alimentaria,23,17,6,
2014,01 Aguascalientes,008 San José de Gracia,315 Fabricación de prendas de vestir,34,3,31,
2014,01 Aguascalientes,008 San José de Gracia,31C  Subsectores agrupados por el principio de confidencialidad,21,21,0,
2014,01 Aguascalientes,008 San José de Gracia,321 Industria de la madera,6,6,0,
2014,01 Aguascalientes,008 San José de Gracia,327 Fabricación de productos a base de minerales no metálicos,6,5,1,
2014,01 Aguascalientes,008 San José de Gracia,332 Fabricación de productos metálicos,12,11,1,
2014,01 Aguascalientes,008 San José de Gracia,337 Fabricación de muebles colchones y persianas,6,5,1,
2014,01 Aguascalientes,009 Tepezalá,311 Industria alimentaria,31,16,15,
2014,01 Aguascalientes,009 Tepezalá,31C  Subsectores agrupados por el principio de confidencialidad,8,2,6,
2014,01 Aguascalientes,009 Tepezalá,327 Fabricación de productos a base de minerales no metálicos,373,357,16,
2014,01 Aguascalientes,009 Tepezalá,332 Fabricación de productos metálicos,16,16,0,
2014,01 Aguascalientes,010 El Llano,311 Industria alimentaria,33,12,21,
2014,01 Aguascalientes,010 El Llano,31C  Subsectores agrupados por el principio de confidencialidad,71,36,35,
2014,01 Aguascalientes,010 El Llano,332 Fabricación de productos metálicos,10,10,0,
2014,01 Aguascalientes,011 San Francisco de los Romo,311 Industria alimentaria,472,346,126,
2014,01 Aguascalientes,011 San Francisco de los Romo,312 Industria de las bebidas y del tabaco,15,10,5,
2014,01 Aguascalientes,011 San Francisco de los Romo,315 Fabricación de prendas de vestir,244,106,138,
2014,01 Aguascalientes,011 San Francisco de los Romo,31C  Subsectores agrupados por el principio de confidencialidad,692,415,277,
2014,01 Aguascalientes,011 San Francisco de los Romo,321 Industria de la madera,7,7,0,
2014,01 Aguascalientes,011 San Francisco de los Romo,323 Impresión e industrias conexas,3,2,1,
2014,01 Aguascalientes,011 San Francisco de los Romo,326 Industria del plástico y del hule,895,546,349,
2014,01 Aguascalientes,011 San Francisco de los Romo,332 Fabricación de productos metálicos,1389,956,433,
2014,01 Aguascalientes,011 San Francisco de los Romo,336 Fabricación de equipo de transporte,3626,2776,850,
2014,01 Aguascalientes,011 San Francisco de los Romo,337 Fabricación de muebles colchones y persianas,35,32,3,
2014,01 Aguascalientes,011 San Francisco de los Romo,339 Otras industrias manufactureras,364,175,189,
2014,02 Baja California,001 Ensenada,311 Industria alimentaria,2138,1242,896,
2014,02 Baja California,001 Ensenada,312 Industria de las bebidas y del tabaco,625,473,152,
2014,02 Baja California,001 Ensenada,314 Fabricación de productos textiles excepto prendas de vestir,372,201,171,
2014,02 Baja California,001 Ensenada,315 Fabricación de prendas de vestir,7789,3124,4665,
2014,02 Baja California,001 Ensenada,31C  Subsectores agrupados por el principio de confidencialidad,7,5,2,
2014,02 Baja California,001 Ensenada,321 Industria de la madera,98,88,10,
2014,02 Baja California,001 Ensenada,322 Industria del papel,31,13,18,
2014,02 Baja California,001 Ensenada,323 Impresión e industrias conexas,2869,963,1906,
2014,02 Baja California,001 Ensenada,325 Industria química,90,72,18,
2014,02 Baja California,001 Ensenada,326 Industria del plástico y del hule,1181,781,400,
2014,02 Baja California,001 Ensenada,327 Fabricación de productos a base de minerales no metálicos,328,284,44,
2014,02 Baja California,001 Ensenada,332 Fabricación de productos metálicos,1447,1314,133,
2014,02 Baja California,001 Ensenada,333 Fabricación de maquinaria y equipo,168,126,42,
2014,02 Baja California,001 Ensenada,334 Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos,1321,617,704,
2014,02 Baja California,001 Ensenada,335 Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica,1156,654,502,
2014,02 Baja California,001 Ensenada,336 Fabricación de equipo de transporte,3288,1496,1792,
2014,02 Baja California,001 Ensenada,337 Fabricación de muebles colchones y persianas,526,295,231,
2014,02 Baja California,001 Ensenada,339 Otras industrias manufactureras,3585,1984,1601,
2014,02 Baja California,002 Mexicali,311 Industria alimentaria,7411,4809,2602,
2014,02 Baja California,002 Mexicali,312 Industria de las bebidas y del tabaco,1422,1225,197,
2014,02 Baja California,002 Mexicali,314 Fabricación de productos textiles excepto prendas de vestir,48,34,14,
2014,02 Baja California,002 Mexicali,315 Fabricación de prendas de vestir,1039,222,817,
2014,02 Baja California,002 Mexicali,316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,231,170,61,
2014,02 Baja California,002 Mexicali,31C  Subsectores agrupados por el principio de confidencialidad,658,575,83,
2014,02 Baja California,002 Mexicali,321 Industria de la madera,361,335,26,
2014,02 Baja California,002 Mexicali,322 Industria del papel,3046,1982,1064,
2014,02 Baja California,002 Mexicali,323 Impresión e industrias conexas,2043,883,1160,
2014,02 Baja California,002 Mexicali,325 Industria química,4123,1607,2516,
2014,02 Baja California,002 Mexicali,326 Industria del plástico y del hule,2527,1911,616,
2014,02 Baja California,002 Mexicali,327 Fabricación de productos a base de minerales no metálicos,2998,2601,397,
2014,02 Baja California,002 Mexicali,331 Industrias metálicas básicas,759,601,158,
2014,02 Baja California,002 Mexicali,332 Fabricación de productos metálicos,6734,4672,2062,
2014,02 Baja California,002 Mexicali,333 Fabricación de maquinaria y equipo,2312,1567,745,
2014,02 Baja California,002 Mexicali,334 Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos,11035,5196,5839,
2014,02 Baja California,002 Mexicali,335 Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica,3376,2348,1028,
2014,02 Baja California,002 Mexicali,336 Fabricación de equipo de transporte,13513,8560,4953,
2014,02 Baja California,002 Mexicali,337 Fabricación de muebles colchones y persianas,850,735,115,
2014,02 Baja California,002 Mexicali,339 Otras industrias manufactureras,9277,4070,5207,
2014,02 Baja California,003 Tecate,311 Industria alimentaria,900,721,179,
2014,02 Baja California,003 Tecate,312 Industria de las bebidas y del tabaco,528,354,174,
2014,02 Baja California,003 Tecate,315 Fabricación de prendas de vestir,180,47,133,
2014,02 Baja California,003 Tecate,316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,310,113,197,
2014,02 Baja California,003 Tecate,31C  Subsectores agrupados por el principio de confidencialidad,343,225,118,
2014,02 Baja California,003 Tecate,321 Industria de la madera,36,32,4,
