Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:43:00 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
29 Tlaxcala,025 San pablo del monte,54     Servicios profesionales científicos y técnicos ,52,39,13,
29 Tlaxcala,025 San pablo del monte,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,185,104,81,
29 Tlaxcala,025 San pablo del monte,61     Servicios educativos ,148,35,113,
29 Tlaxcala,025 San pablo del monte,62     Servicios de salud y de asistencia social ,163,84,79,
29 Tlaxcala,025 San pablo del monte,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,49,23,26,
29 Tlaxcala,025 San pablo del monte,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,289,102,187,
29 Tlaxcala,025 San pablo del monte,81     Otros servicios excepto actividades gubernamentales ,503,339,164,
17 Morelos,025 Tlaquiltenango,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,35,32,3,
17 Morelos,025 Tlaquiltenango,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,8,7,1,
17 Morelos,025 Tlaquiltenango,31  - 33 industrias manufactureras ,311,185,126,
17 Morelos,025 Tlaquiltenango,43     Comercio al por mayor ,50,33,17,
17 Morelos,025 Tlaquiltenango,46     Comercio al por menor ,1078,407,671,
17 Morelos,025 Tlaquiltenango,48  - 49 transportes correos y almacenamiento ,236,235,1,
17 Morelos,025 Tlaquiltenango,51     Información en medios masivos ,1,0,1,
17 Morelos,025 Tlaquiltenango,52     Servicios financieros y de seguros ,13,7,6,
17 Morelos,025 Tlaquiltenango,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,48,28,20,
17 Morelos,025 Tlaquiltenango,54     Servicios profesionales científicos y técnicos ,28,23,5,
17 Morelos,025 Tlaquiltenango,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,45,22,23,
17 Morelos,025 Tlaquiltenango,61     Servicios educativos ,16,9,7,
17 Morelos,025 Tlaquiltenango,62     Servicios de salud y de asistencia social ,69,35,34,
17 Morelos,025 Tlaquiltenango,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,382,250,132,
17 Morelos,025 Tlaquiltenango,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,259,86,173,
17 Morelos,025 Tlaquiltenango,81     Otros servicios excepto actividades gubernamentales ,225,153,72,
30 Veracruz de ignacio de la llave,026 Banderilla,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,30,23,7,
30 Veracruz de ignacio de la llave,026 Banderilla,23     Construcción ,726,689,37,
30 Veracruz de ignacio de la llave,026 Banderilla,31  - 33 industrias manufactureras ,206,145,61,
30 Veracruz de ignacio de la llave,026 Banderilla,43     Comercio al por mayor ,808,662,146,
30 Veracruz de ignacio de la llave,026 Banderilla,46     Comercio al por menor ,812,384,428,
30 Veracruz de ignacio de la llave,026 Banderilla,48  - 49 transportes correos y almacenamiento ,212,203,9,
30 Veracruz de ignacio de la llave,026 Banderilla,51     Información en medios masivos ,4,2,2,
30 Veracruz de ignacio de la llave,026 Banderilla,52     Servicios financieros y de seguros ,8,7,1,
30 Veracruz de ignacio de la llave,026 Banderilla,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,18,12,6,
30 Veracruz de ignacio de la llave,026 Banderilla,54     Servicios profesionales científicos y técnicos ,4,4,0,
30 Veracruz de ignacio de la llave,026 Banderilla,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,37,19,18,
30 Veracruz de ignacio de la llave,026 Banderilla,61     Servicios educativos ,31,16,15,
30 Veracruz de ignacio de la llave,026 Banderilla,62     Servicios de salud y de asistencia social ,53,28,25,
30 Veracruz de ignacio de la llave,026 Banderilla,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,16,13,3,
30 Veracruz de ignacio de la llave,026 Banderilla,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,296,76,220,
30 Veracruz de ignacio de la llave,026 Banderilla,81     Otros servicios excepto actividades gubernamentales ,216,159,57,
21 Puebla,026 Calpan,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,9,8,1,
21 Puebla,026 Calpan,31  - 33 industrias manufactureras ,81,43,38,
21 Puebla,026 Calpan,43     Comercio al por mayor ,31,18,13,
21 Puebla,026 Calpan,46     Comercio al por menor ,582,209,373,
21 Puebla,026 Calpan,48  - 49 transportes correos y almacenamiento ,1,0,1,
21 Puebla,026 Calpan,52     Servicios financieros y de seguros ,1,0,1,
21 Puebla,026 Calpan,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,6,5,1,
21 Puebla,026 Calpan,54     Servicios profesionales científicos y técnicos ,2,1,1,
21 Puebla,026 Calpan,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,4,0,4,
21 Puebla,026 Calpan,61     Servicios educativos ,32,9,23,
21 Puebla,026 Calpan,62     Servicios de salud y de asistencia social ,21,11,10,
21 Puebla,026 Calpan,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,4,1,3,
21 Puebla,026 Calpan,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,55,9,46,
21 Puebla,026 Calpan,81     Otros servicios excepto actividades gubernamentales ,53,40,13,
20 Oaxaca,026 Chalcatongo de hidalgo,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,10,8,2,
20 Oaxaca,026 Chalcatongo de hidalgo,31  - 33 industrias manufactureras ,64,34,30,
20 Oaxaca,026 Chalcatongo de hidalgo,43     Comercio al por mayor ,28,21,7,
20 Oaxaca,026 Chalcatongo de hidalgo,46     Comercio al por menor ,496,224,272,
20 Oaxaca,026 Chalcatongo de hidalgo,48  - 49 transportes correos y almacenamiento ,38,34,4,
20 Oaxaca,026 Chalcatongo de hidalgo,51     Información en medios masivos ,1,1,0,
20 Oaxaca,026 Chalcatongo de hidalgo,52     Servicios financieros y de seguros ,46,14,32,
20 Oaxaca,026 Chalcatongo de hidalgo,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,2,1,1,
20 Oaxaca,026 Chalcatongo de hidalgo,54     Servicios profesionales científicos y técnicos ,5,4,1,
20 Oaxaca,026 Chalcatongo de hidalgo,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,15,5,10,
20 Oaxaca,026 Chalcatongo de hidalgo,61     Servicios educativos ,3,1,2,
20 Oaxaca,026 Chalcatongo de hidalgo,62     Servicios de salud y de asistencia social ,4,4,0,
20 Oaxaca,026 Chalcatongo de hidalgo,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,1,1,0,
20 Oaxaca,026 Chalcatongo de hidalgo,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,162,57,105,
20 Oaxaca,026 Chalcatongo de hidalgo,81     Otros servicios excepto actividades gubernamentales ,61,46,15,
15 México,026 Chapa de mota,21     Minería ,3,3,0,
15 México,026 Chapa de mota,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,4,4,0,
15 México,026 Chapa de mota,31  - 33 industrias manufactureras ,215,80,135,
15 México,026 Chapa de mota,43     Comercio al por mayor ,14,12,2,
15 México,026 Chapa de mota,46     Comercio al por menor ,368,159,209,
15 México,026 Chapa de mota,54     Servicios profesionales científicos y técnicos ,2,2,0,
15 México,026 Chapa de mota,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,8,5,3,
15 México,026 Chapa de mota,62     Servicios de salud y de asistencia social ,2,1,1,
15 México,026 Chapa de mota,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,24,8,16,
15 México,026 Chapa de mota,81     Otros servicios excepto actividades gubernamentales ,22,11,11,
07 Chiapas,026 Chenalhó,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,7,6,1,
07 Chiapas,026 Chenalhó,31  - 33 industrias manufactureras ,24,18,6,
07 Chiapas,026 Chenalhó,43     Comercio al por mayor ,7,6,1,
07 Chiapas,026 Chenalhó,46     Comercio al por menor ,138,67,71,
07 Chiapas,026 Chenalhó,54     Servicios profesionales científicos y técnicos ,1,1,0,
07 Chiapas,026 Chenalhó,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,2,2,0,
07 Chiapas,026 Chenalhó,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,46,12,34,
07 Chiapas,026 Chenalhó,81     Otros servicios excepto actividades gubernamentales ,8,7,1,
16 Michoacán de ocampo,026 Chinicuila,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,17,17,0,
16 Michoacán de ocampo,026 Chinicuila,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,3,3,0,
16 Michoacán de ocampo,026 Chinicuila,31  - 33 industrias manufactureras ,28,21,7,
16 Michoacán de ocampo,026 Chinicuila,43     Comercio al por mayor ,6,4,2,
16 Michoacán de ocampo,026 Chinicuila,46     Comercio al por menor ,66,28,38,
16 Michoacán de ocampo,026 Chinicuila,52     Servicios financieros y de seguros ,1,0,1,
16 Michoacán de ocampo,026 Chinicuila,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,6,3,3,
16 Michoacán de ocampo,026 Chinicuila,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,1,1,0,
16 Michoacán de ocampo,026 Chinicuila,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,29,3,26,
16 Michoacán de ocampo,026 Chinicuila,81     Otros servicios excepto actividades gubernamentales ,21,10,11,
14 Jalisco,026 Concepción de buenos aires,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,5,5,0,
14 Jalisco,026 Concepción de buenos aires,31  - 33 industrias manufactureras ,248,168,80,
14 Jalisco,026 Concepción de buenos aires,43     Comercio al por mayor ,32,19,13,
14 Jalisco,026 Concepción de buenos aires,46     Comercio al por menor ,361,142,219,
14 Jalisco,026 Concepción de buenos aires,51     Información en medios masivos ,1,0,1,
14 Jalisco,026 Concepción de buenos aires,52     Servicios financieros y de seguros ,4,0,4,
14 Jalisco,026 Concepción de buenos aires,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,14,10,4,
14 Jalisco,026 Concepción de buenos aires,54     Servicios profesionales científicos y técnicos ,14,8,6,
14 Jalisco,026 Concepción de buenos aires,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,7,3,4,
14 Jalisco,026 Concepción de buenos aires,62     Servicios de salud y de asistencia social ,46,19,27,
14 Jalisco,026 Concepción de buenos aires,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,6,3,3,
14 Jalisco,026 Concepción de buenos aires,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,96,47,49,
14 Jalisco,026 Concepción de buenos aires,81     Otros servicios excepto actividades gubernamentales ,73,48,25,
12 Guerrero,026 Cuetzala del progreso,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,3,3,0,
12 Guerrero,026 Cuetzala del progreso,31  - 33 industrias manufactureras ,43,25,18,
12 Guerrero,026 Cuetzala del progreso,43     Comercio al por mayor ,14,9,5,
12 Guerrero,026 Cuetzala del progreso,46     Comercio al por menor ,244,101,143,
12 Guerrero,026 Cuetzala del progreso,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,3,2,1,
12 Guerrero,026 Cuetzala del progreso,62     Servicios de salud y de asistencia social ,1,1,0,
12 Guerrero,026 Cuetzala del progreso,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,1,1,0,
12 Guerrero,026 Cuetzala del progreso,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,42,10,32,
12 Guerrero,026 Cuetzala del progreso,81     Otros servicios excepto actividades gubernamentales ,16,10,6,
31 Yucatán,026 Dzemul,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,6,6,0,
31 Yucatán,026 Dzemul,31  - 33 industrias manufactureras ,71,31,40,
31 Yucatán,026 Dzemul,43     Comercio al por mayor ,10,9,1,
31 Yucatán,026 Dzemul,46     Comercio al por menor ,160,68,92,
31 Yucatán,026 Dzemul,52     Servicios financieros y de seguros ,6,4,2,
31 Yucatán,026 Dzemul,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,21,18,3,
31 Yucatán,026 Dzemul,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,8,4,4,
31 Yucatán,026 Dzemul,62     Servicios de salud y de asistencia social ,21,17,4,
31 Yucatán,026 Dzemul,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,3,3,0,
31 Yucatán,026 Dzemul,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,61,26,35,
31 Yucatán,026 Dzemul,81     Otros servicios excepto actividades gubernamentales ,16,13,3,
26 Sonora,026 Etchojoa,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,75,69,6,
26 Sonora,026 Etchojoa,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,121,82,39,
26 Sonora,026 Etchojoa,31  - 33 industrias manufactureras ,299,146,153,
26 Sonora,026 Etchojoa,43     Comercio al por mayor ,95,69,26,
26 Sonora,026 Etchojoa,46     Comercio al por menor ,1042,413,629,
26 Sonora,026 Etchojoa,48  - 49 transportes correos y almacenamiento ,464,455,9,
26 Sonora,026 Etchojoa,51     Información en medios masivos ,3,0,3,
26 Sonora,026 Etchojoa,52     Servicios financieros y de seguros ,9,6,3,
26 Sonora,026 Etchojoa,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,30,21,9,
26 Sonora,026 Etchojoa,54     Servicios profesionales científicos y técnicos ,12,9,3,
26 Sonora,026 Etchojoa,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,30,16,14,
26 Sonora,026 Etchojoa,61     Servicios educativos ,11,4,7,
26 Sonora,026 Etchojoa,62     Servicios de salud y de asistencia social ,108,69,39,
26 Sonora,026 Etchojoa,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,23,11,12,
26 Sonora,026 Etchojoa,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,325,135,190,
26 Sonora,026 Etchojoa,81     Otros servicios excepto actividades gubernamentales ,295,235,60,
08 Chihuahua,026 Gran morelos,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,9,6,3,
08 Chihuahua,026 Gran morelos,31  - 33 industrias manufactureras ,15,9,6,
08 Chihuahua,026 Gran morelos,46     Comercio al por menor ,28,14,14,
08 Chihuahua,026 Gran morelos,62     Servicios de salud y de asistencia social ,3,2,1,
08 Chihuahua,026 Gran morelos,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,2,1,1,
08 Chihuahua,026 Gran morelos,81     Otros servicios excepto actividades gubernamentales ,7,7,0,
19 Nuevo león,026 Guadalupe,21     Minería ,24,22,2,
19 Nuevo león,026 Guadalupe,23     Construcción ,3705,3258,447,
19 Nuevo león,026 Guadalupe,31  - 33 industrias manufactureras ,44923,29125,15798,
19 Nuevo león,026 Guadalupe,43     Comercio al por mayor ,7370,5636,1734,
19 Nuevo león,026 Guadalupe,46     Comercio al por menor ,26859,13975,12884,
19 Nuevo león,026 Guadalupe,48  - 49 transportes correos y almacenamiento ,4674,4111,563,
19 Nuevo león,026 Guadalupe,51     Información en medios masivos ,317,205,112,
19 Nuevo león,026 Guadalupe,52     Servicios financieros y de seguros ,728,417,311,
19 Nuevo león,026 Guadalupe,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,1479,924,555,
19 Nuevo león,026 Guadalupe,54     Servicios profesionales científicos y técnicos ,1997,1197,800,
19 Nuevo león,026 Guadalupe,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,2448,1658,790,
19 Nuevo león,026 Guadalupe,61     Servicios educativos ,2556,715,1841,
19 Nuevo león,026 Guadalupe,62     Servicios de salud y de asistencia social ,2308,874,1434,
19 Nuevo león,026 Guadalupe,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,974,561,413,
19 Nuevo león,026 Guadalupe,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,7007,3677,3330,
19 Nuevo león,026 Guadalupe,81     Otros servicios excepto actividades gubernamentales ,7223,5004,2219,
13 Hidalgo,026 Huazalingo,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,5,3,2,
13 Hidalgo,026 Huazalingo,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,8,6,2,
13 Hidalgo,026 Huazalingo,31  - 33 industrias manufactureras ,14,10,4,
13 Hidalgo,026 Huazalingo,43     Comercio al por mayor ,5,3,2,
13 Hidalgo,026 Huazalingo,46     Comercio al por menor ,37,14,23,
13 Hidalgo,026 Huazalingo,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,5,1,4,
13 Hidalgo,026 Huazalingo,62     Servicios de salud y de asistencia social ,39,23,16,
13 Hidalgo,026 Huazalingo,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,8,0,8,
13 Hidalgo,026 Huazalingo,81     Otros servicios excepto actividades gubernamentales ,11,8,3,
32 Zacatecas,026 Mazapil,21     Minería ,1709,1557,152,
32 Zacatecas,026 Mazapil,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,5,5,0,
32 Zacatecas,026 Mazapil,31  - 33 industrias manufactureras ,9,6,3,
32 Zacatecas,026 Mazapil,43     Comercio al por mayor ,6,5,1,
32 Zacatecas,026 Mazapil,46     Comercio al por menor ,61,32,29,
32 Zacatecas,026 Mazapil,48  - 49 transportes correos y almacenamiento ,1,0,1,
32 Zacatecas,026 Mazapil,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,2,2,0,
32 Zacatecas,026 Mazapil,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,1,1,0,
32 Zacatecas,026 Mazapil,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,42,18,24,
32 Zacatecas,026 Mazapil,81     Otros servicios excepto actividades gubernamentales ,12,10,2,
28 Tamaulipas,026 Miquihuana,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,2,2,0,
28 Tamaulipas,026 Miquihuana,31  - 33 industrias manufactureras ,15,14,1,
28 Tamaulipas,026 Miquihuana,43     Comercio al por mayor ,13,12,1,
28 Tamaulipas,026 Miquihuana,46     Comercio al por menor ,61,28,33,
28 Tamaulipas,026 Miquihuana,52     Servicios financieros y de seguros ,1,0,1,
28 Tamaulipas,026 Miquihuana,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,1,1,0,
28 Tamaulipas,026 Miquihuana,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,9,4,5,
28 Tamaulipas,026 Miquihuana,81     Otros servicios excepto actividades gubernamentales ,3,2,1,
05 Coahuila de zaragoza,026 Progreso,21     Minería ,260,260,0,
05 Coahuila de zaragoza,026 Progreso,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,5,5,0,
05 Coahuila de zaragoza,026 Progreso,43     Comercio al por mayor ,3,2,1,
05 Coahuila de zaragoza,026 Progreso,46     Comercio al por menor ,33,15,18,
05 Coahuila de zaragoza,026 Progreso,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,2,1,1,
05 Coahuila de zaragoza,026 Progreso,81     Otros servicios excepto actividades gubernamentales ,2,2,0,
11 Guanajuato,026 Romita,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,23,18,5,
11 Guanajuato,026 Romita,23     Construcción ,85,83,2,
11 Guanajuato,026 Romita,31  - 33 industrias manufactureras ,599,262,337,
11 Guanajuato,026 Romita,43     Comercio al por mayor ,130,100,30,
11 Guanajuato,026 Romita,46     Comercio al por menor ,1646,751,895,
11 Guanajuato,026 Romita,48  - 49 transportes correos y almacenamiento ,34,32,2,
11 Guanajuato,026 Romita,51     Información en medios masivos ,9,2,7,
11 Guanajuato,026 Romita,52     Servicios financieros y de seguros ,20,7,13,
11 Guanajuato,026 Romita,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,47,30,17,
11 Guanajuato,026 Romita,54     Servicios profesionales científicos y técnicos ,61,38,23,
11 Guanajuato,026 Romita,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,57,28,29,
11 Guanajuato,026 Romita,61     Servicios educativos ,46,19,27,
11 Guanajuato,026 Romita,62     Servicios de salud y de asistencia social ,70,39,31,
11 Guanajuato,026 Romita,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,58,39,19,
11 Guanajuato,026 Romita,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,299,149,150,
11 Guanajuato,026 Romita,81     Otros servicios excepto actividades gubernamentales ,301,230,71,
24 San luis potosí,026 San antonio,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,5,5,0,
24 San luis potosí,026 San antonio,31  - 33 industrias manufactureras ,5,3,2,
24 San luis potosí,026 San antonio,46     Comercio al por menor ,35,13,22,
24 San luis potosí,026 San antonio,54     Servicios profesionales científicos y técnicos ,1,1,0,
24 San luis potosí,026 San antonio,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,7,3,4,
24 San luis potosí,026 San antonio,62     Servicios de salud y de asistencia social ,14,8,6,
24 San luis potosí,026 San antonio,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,5,2,3,
24 San luis potosí,026 San antonio,81     Otros servicios excepto actividades gubernamentales ,2,2,0,
10 Durango,026 San dimas,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,108,76,32,
10 Durango,026 San dimas,21     Minería ,1065,860,205,
10 Durango,026 San dimas,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,7,7,0,
10 Durango,026 San dimas,31  - 33 industrias manufactureras ,43,24,19,
10 Durango,026 San dimas,43     Comercio al por mayor ,1,0,1,
10 Durango,026 San dimas,46     Comercio al por menor ,250,107,143,
10 Durango,026 San dimas,48  - 49 transportes correos y almacenamiento ,32,29,3,
10 Durango,026 San dimas,52     Servicios financieros y de seguros ,1,1,0,
10 Durango,026 San dimas,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,2,1,1,
10 Durango,026 San dimas,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,10,4,6,
10 Durango,026 San dimas,61     Servicios educativos ,34,16,18,
10 Durango,026 San dimas,62     Servicios de salud y de asistencia social ,48,39,9,
10 Durango,026 San dimas,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,14,7,7,
10 Durango,026 San dimas,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,97,29,68,
10 Durango,026 San dimas,81     Otros servicios excepto actividades gubernamentales ,47,38,9,
29 Tlaxcala,026 Santa cruz tlaxcala,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,12,9,3,
29 Tlaxcala,026 Santa cruz tlaxcala,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,2,2,0,
29 Tlaxcala,026 Santa cruz tlaxcala,31  - 33 industrias manufactureras ,379,219,160,
29 Tlaxcala,026 Santa cruz tlaxcala,43     Comercio al por mayor ,41,31,10,
29 Tlaxcala,026 Santa cruz tlaxcala,46     Comercio al por menor ,443,176,267,
29 Tlaxcala,026 Santa cruz tlaxcala,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,16,11,5,
29 Tlaxcala,026 Santa cruz tlaxcala,54     Servicios profesionales científicos y técnicos ,8,5,3,
29 Tlaxcala,026 Santa cruz tlaxcala,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,9,6,3,
29 Tlaxcala,026 Santa cruz tlaxcala,61     Servicios educativos ,90,34,56,
29 Tlaxcala,026 Santa cruz tlaxcala,62     Servicios de salud y de asistencia social ,6,1,5,
29 Tlaxcala,026 Santa cruz tlaxcala,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,23,19,4,
29 Tlaxcala,026 Santa cruz tlaxcala,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,157,92,65,
29 Tlaxcala,026 Santa cruz tlaxcala,81     Otros servicios excepto actividades gubernamentales ,102,82,20,
17 Morelos,026 Tlayacapan,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,7,5,2,
17 Morelos,026 Tlayacapan,23     Construcción ,8,8,0,
17 Morelos,026 Tlayacapan,31  - 33 industrias manufactureras ,257,164,93,
17 Morelos,026 Tlayacapan,43     Comercio al por mayor ,53,39,14,
17 Morelos,026 Tlayacapan,46     Comercio al por menor ,819,273,546,
17 Morelos,026 Tlayacapan,48  - 49 transportes correos y almacenamiento ,104,104,0,
17 Morelos,026 Tlayacapan,51     Información en medios masivos ,13,5,8,
17 Morelos,026 Tlayacapan,52     Servicios financieros y de seguros ,2,0,2,
17 Morelos,026 Tlayacapan,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,19,11,8,
17 Morelos,026 Tlayacapan,54     Servicios profesionales científicos y técnicos ,12,6,6,
17 Morelos,026 Tlayacapan,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,30,11,19,
17 Morelos,026 Tlayacapan,61     Servicios educativos ,77,25,52,
17 Morelos,026 Tlayacapan,62     Servicios de salud y de asistencia social ,54,33,21,
17 Morelos,026 Tlayacapan,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,163,82,81,
17 Morelos,026 Tlayacapan,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,365,90,275,
17 Morelos,026 Tlayacapan,81     Otros servicios excepto actividades gubernamentales ,95,49,46,
30 Veracruz de ignacio de la llave,027 Benito juárez,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,4,4,0,
30 Veracruz de ignacio de la llave,027 Benito juárez,31  - 33 industrias manufactureras ,38,16,22,
30 Veracruz de ignacio de la llave,027 Benito juárez,43     Comercio al por mayor ,15,11,4,
30 Veracruz de ignacio de la llave,027 Benito juárez,46     Comercio al por menor ,89,40,49,
30 Veracruz de ignacio de la llave,027 Benito juárez,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,4,3,1,
30 Veracruz de ignacio de la llave,027 Benito juárez,61     Servicios educativos ,4,4,0,
30 Veracruz de ignacio de la llave,027 Benito juárez,62     Servicios de salud y de asistencia social ,1,1,0,
30 Veracruz de ignacio de la llave,027 Benito juárez,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,2,1,1,
30 Veracruz de ignacio de la llave,027 Benito juárez,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,26,8,18,
30 Veracruz de ignacio de la llave,027 Benito juárez,81     Otros servicios excepto actividades gubernamentales ,21,15,6,
