Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:43:00 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
07 Chiapas,001 Acacoyagua,48  - 49 transportes correos y almacenamiento ,9,9,0,
07 Chiapas,001 Acacoyagua,51     Información en medios masivos ,1,0,1,
07 Chiapas,001 Acacoyagua,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,5,3,2,
07 Chiapas,001 Acacoyagua,54     Servicios profesionales científicos y técnicos ,11,7,4,
07 Chiapas,001 Acacoyagua,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,11,7,4,
07 Chiapas,001 Acacoyagua,62     Servicios de salud y de asistencia social ,5,3,2,
07 Chiapas,001 Acacoyagua,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,18,13,5,
07 Chiapas,001 Acacoyagua,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,85,12,73,
07 Chiapas,001 Acacoyagua,81     Otros servicios excepto actividades gubernamentales ,53,38,15,
21 Puebla,001 Acajete,21     Minería ,10,10,0,
30 Veracruz de ignacio de la llave,001 Acajete,21     Minería ,11,11,0,
21 Puebla,001 Acajete,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,3,2,1,
30 Veracruz de ignacio de la llave,001 Acajete,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,4,4,0,
21 Puebla,001 Acajete,23     Construcción ,21,18,3,
21 Puebla,001 Acajete,31  - 33 industrias manufactureras ,1412,737,675,
30 Veracruz de ignacio de la llave,001 Acajete,31  - 33 industrias manufactureras ,12,8,4,
21 Puebla,001 Acajete,43     Comercio al por mayor ,101,74,27,
30 Veracruz de ignacio de la llave,001 Acajete,43     Comercio al por mayor ,4,2,2,
21 Puebla,001 Acajete,46     Comercio al por menor ,1925,730,1195,
30 Veracruz de ignacio de la llave,001 Acajete,46     Comercio al por menor ,53,20,33,
21 Puebla,001 Acajete,48  - 49 transportes correos y almacenamiento ,44,40,4,
21 Puebla,001 Acajete,51     Información en medios masivos ,6,2,4,
21 Puebla,001 Acajete,52     Servicios financieros y de seguros ,6,2,4,
